fromNode	toNode	weight	direction	fromAltName	toAltName
SKIV2L2	REEP4	0.239486706747867	undirected	ILMN_1651513	ILMN_1729611
SKIV2L2	CXorf26	0.217560139127317	undirected	ILMN_1651513	ILMN_1768176
SKIV2L2	COMMD4	0.243510472708667	undirected	ILMN_1651513	ILMN_2096654
ADCY7	KLF6	0.207089177588457	undirected	ILMN_1655935	ILMN_1700727
ADCY7	HSPA1A	0.22350325727864	undirected	ILMN_1655935	ILMN_1789074
ADCY7	COMMD4	0.224469071203338	undirected	ILMN_1655935	ILMN_2096654
MEX3C	ATXN7L2	0.217781115504948	undirected	ILMN_1658182	ILMN_1664177
MEX3C	ALG5	0.215427203162884	undirected	ILMN_1658182	ILMN_1664449
MEX3C	CLCC1	0.265268544167847	undirected	ILMN_1658182	ILMN_1671933
MEX3C	PHPT1	0.244917574490105	undirected	ILMN_1658182	ILMN_1676611
MEX3C	SCRIB	0.241297581658951	undirected	ILMN_1658182	ILMN_1726516
MEX3C	YTHDF2	0.269084037904894	undirected	ILMN_1658182	ILMN_1730658
MEX3C	COMMD10	0.278554006013931	undirected	ILMN_1658182	ILMN_1766505
MEX3C	CXorf26	0.252680972152301	undirected	ILMN_1658182	ILMN_1768176
MEX3C	CTPS	0.261440324471845	undirected	ILMN_1658182	ILMN_1783285
MEX3C	PRKAB2	0.27767896325335	undirected	ILMN_1658182	ILMN_1786021
MEX3C	CSTF2T	0.202732391499214	undirected	ILMN_1658182	ILMN_1807515
MEX3C	RGS18	0.265765463859016	undirected	ILMN_1658182	ILMN_2101278
MEX3C	VDAC1	0.268349134540104	undirected	ILMN_1658182	ILMN_2175601
MEX3C	ARHGAP5	0.231212953453178	undirected	ILMN_1658182	ILMN_2322747
MEX3C	IFFO2	0.268925276552449	undirected	ILMN_1658182	ILMN_3236367
MEX3C	KDSR	0.276424849148669	undirected	ILMN_1658182	ILMN_3241164
CHD4	DOPEY1	0.204834494283771	undirected	ILMN_1658411	ILMN_1739156
ZC3H18	ATXN7L2	0.214005090372239	undirected	ILMN_1658834	ILMN_1664177
ZC3H18	MST4	0.27126811899753	undirected	ILMN_1658834	ILMN_1676159
ZC3H18	C21orf7	0.209799164594944	undirected	ILMN_1658834	ILMN_1699071
ZC3H18	SF3B14	0.261575344548856	undirected	ILMN_1658834	ILMN_1703720
ZC3H18	TMEM97	0.232810680158601	undirected	ILMN_1658834	ILMN_1710962
ZC3H18	ZFYVE19	0.236481453577172	undirected	ILMN_1658834	ILMN_1780698
ZC3H18	FAM164A	0.285476132808081	undirected	ILMN_1658834	ILMN_1789558
ZC3H18	DHRS1	0.221075199557579	undirected	ILMN_1658834	ILMN_1807206
ZC3H18	CSTF2T	0.216613834267988	undirected	ILMN_1658834	ILMN_1807515
ZC3H18	TMEM150A	0.24673551222194	undirected	ILMN_1658834	ILMN_2299612
LIG3	LILRA3	0.209971994324093	undirected	ILMN_1660582	ILMN_1661631
LIG3	RBX1	0.251685749784534	undirected	ILMN_1660582	ILMN_1666670
LIG3	PINK1	0.225756706440261	undirected	ILMN_1660582	ILMN_1666924
LIG3	KIR2DL4	0.259026551815506	undirected	ILMN_1660582	ILMN_1693207
LIG3	C21orf7	0.215239812493192	undirected	ILMN_1660582	ILMN_1699071
LIG3	INO80C	0.211576134864135	undirected	ILMN_1660582	ILMN_1730294
LIG3	CDC42	0.231399054891205	undirected	ILMN_1660582	ILMN_1738424
LIG3	FXR2	0.225216556712915	undirected	ILMN_1660582	ILMN_1738699
LIG3	RAB5B	0.233182874709471	undirected	ILMN_1660582	ILMN_1752582
LIG3	RBM23	0.207558048713955	undirected	ILMN_1660582	ILMN_1780756
LIG3	HIP2	0.200888476762404	undirected	ILMN_1660582	ILMN_1782954
LIG3	NPLOC4	0.226781882428251	undirected	ILMN_1660582	ILMN_1807600
LIG3	IPO5	0.270645830931355	undirected	ILMN_1660582	ILMN_2166384
LIG3	STARD3NL	0.271722828375889	undirected	ILMN_1660582	ILMN_2228873
LIG3	AP3S1	0.213061234403178	undirected	ILMN_1660582	ILMN_2311761
LIG3	ZBTB42	0.20981686419057	undirected	ILMN_1660582	ILMN_3239445
LILRA3	C20orf3	0.219038649397132	undirected	ILMN_1661631	ILMN_1674394
LILRA3	KIR2DL4	0.205061143107939	undirected	ILMN_1661631	ILMN_1693207
LILRA3	FXR2	0.248911424368575	undirected	ILMN_1661631	ILMN_1738699
LILRA3	ZFYVE19	0.217716665736788	undirected	ILMN_1661631	ILMN_1780698
LILRA3	MOSC1	0.246510086821239	undirected	ILMN_1661631	ILMN_1799106
LILRA3	NPLOC4	0.274763663989958	undirected	ILMN_1661631	ILMN_1807600
LILRA3	IPO5	0.226067210096112	undirected	ILMN_1661631	ILMN_2166384
LILRA3	STARD3NL	0.224610414912281	undirected	ILMN_1661631	ILMN_2228873
LILRA3	ZBTB42	0.23207194279329	undirected	ILMN_1661631	ILMN_3239445
